# units: cm, T
xmin> -30.0
xmax> 24.900000000000013
nx> 10
ymin> -25.0
ymax> 18.199999999999996
ny> 7
zmin> -35.0
zmax> 29.0
nz> 9
tmin> -2e-09
tmax> 1.4999999999999994e-09
nt> 8
loopOrder> xyzt
! X	             Y	             Z	             T	            Fx	            Fy	            Fz
-3.00000000E+01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.02202832E+01	-6.49756259E+01	-6.80730455E+00
-2.39000000E+01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.10970201E+01	-6.49756259E+01	-6.80730455E+00
-1.78000000E+01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.21438034E+01	-6.49756259E+01	-6.80730455E+00
-1.17000000E+01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.31162561E+01	-6.49756259E+01	-6.80730455E+00
-5.60000000E+00	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.37873539E+01	-6.49756259E+01	-6.80730455E+00
5.00000000E-01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.40004255E+01	-6.49756259E+01	-6.80730455E+00
6.60000000E+00	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.37057281E+01	-6.49756259E+01	-6.80730455E+00
1.27000000E+01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.29720605E+01	-6.49756259E+01	-6.80730455E+00
1.88000000E+01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.19707012E+01	-6.49756259E+01	-6.80730455E+00
2.49000000E+01	-2.50000000E+01	-3.50000000E+01	-2.00000000E-09	3.09354229E+01	-6.49756259E+01	-6.80730455E+00
-3.00000000E+01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	2.92018467E+01	-6.40244454E+01	-6.80730455E+00
-2.39000000E+01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.06348642E+01	-6.40244454E+01	-6.80730455E+00
-1.78000000E+01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.23458208E+01	-6.40244454E+01	-6.80730455E+00
-1.17000000E+01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.39352849E+01	-6.40244454E+01	-6.80730455E+00
-5.60000000E+00	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.50321874E+01	-6.40244454E+01	-6.80730455E+00
5.00000000E-01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.53804506E+01	-6.40244454E+01	-6.80730455E+00
6.60000000E+00	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.48987708E+01	-6.40244454E+01	-6.80730455E+00
1.27000000E+01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.36995985E+01	-6.40244454E+01	-6.80730455E+00
1.88000000E+01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.20628870E+01	-6.40244454E+01	-6.80730455E+00
2.49000000E+01	-1.78000000E+01	-3.50000000E+01	-2.00000000E-09	3.03707352E+01	-6.40244454E+01	-6.80730455E+00
-3.00000000E+01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	2.94857169E+01	-6.29840612E+01	-6.80730455E+00
-2.39000000E+01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.07636815E+01	-6.29840612E+01	-6.80730455E+00
-1.78000000E+01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.22895123E+01	-6.29840612E+01	-6.80730455E+00
-1.17000000E+01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.37069958E+01	-6.29840612E+01	-6.80730455E+00
-5.60000000E+00	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.46852132E+01	-6.29840612E+01	-6.80730455E+00
5.00000000E-01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.49957943E+01	-6.29840612E+01	-6.80730455E+00
6.60000000E+00	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.45662324E+01	-6.29840612E+01	-6.80730455E+00
1.27000000E+01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.34968109E+01	-6.29840612E+01	-6.80730455E+00
1.88000000E+01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.20371919E+01	-6.29840612E+01	-6.80730455E+00
2.49000000E+01	-1.06000000E+01	-3.50000000E+01	-2.00000000E-09	3.05281314E+01	-6.29840612E+01	-6.80730455E+00
-3.00000000E+01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.09309839E+01	-6.31902080E+01	-6.80730455E+00
-2.39000000E+01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.14195287E+01	-6.31902080E+01	-6.80730455E+00
-1.78000000E+01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.20028286E+01	-6.31902080E+01	-6.80730455E+00
-1.17000000E+01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.25447092E+01	-6.31902080E+01	-6.80730455E+00
-5.60000000E+00	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.29186655E+01	-6.31902080E+01	-6.80730455E+00
5.00000000E-01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.30373955E+01	-6.31902080E+01	-6.80730455E+00
6.60000000E+00	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.28731811E+01	-6.31902080E+01	-6.80730455E+00
1.27000000E+01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.24643589E+01	-6.31902080E+01	-6.80730455E+00
1.88000000E+01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.19063707E+01	-6.31902080E+01	-6.80730455E+00
2.49000000E+01	-3.40000000E+00	-3.50000000E+01	-2.00000000E-09	3.13294818E+01	-6.31902080E+01	-6.80730455E+00
-3.00000000E+01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.28202338E+01	-6.41563633E+01	-6.80730455E+00
-2.39000000E+01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.22768507E+01	-6.41563633E+01	-6.80730455E+00
-1.78000000E+01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.16280763E+01	-6.41563633E+01	-6.80730455E+00
-1.17000000E+01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.10253706E+01	-6.41563633E+01	-6.80730455E+00
-5.60000000E+00	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.06094382E+01	-6.41563633E+01	-6.80730455E+00
5.00000000E-01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.04773810E+01	-6.41563633E+01	-6.80730455E+00
6.60000000E+00	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.06600282E+01	-6.41563633E+01	-6.80730455E+00
1.27000000E+01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.11147400E+01	-6.41563633E+01	-6.80730455E+00
1.88000000E+01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.17353615E+01	-6.41563633E+01	-6.80730455E+00
2.49000000E+01	3.80000000E+00	-3.50000000E+01	-2.00000000E-09	3.23770052E+01	-6.41563633E+01	-6.80730455E+00
-3.00000000E+01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	3.42156645E+01	-6.42866082E+01	-6.80730455E+00
-2.39000000E+01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	3.29100826E+01	-6.42866082E+01	-6.80730455E+00
-1.78000000E+01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	3.13512782E+01	-6.42866082E+01	-6.80730455E+00
-1.17000000E+01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	2.99031624E+01	-6.42866082E+01	-6.80730455E+00
-5.60000000E+00	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	2.89038054E+01	-6.42866082E+01	-6.80730455E+00
5.00000000E-01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	2.85865125E+01	-6.42866082E+01	-6.80730455E+00
6.60000000E+00	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	2.90253575E+01	-6.42866082E+01	-6.80730455E+00
1.27000000E+01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	3.01178895E+01	-6.42866082E+01	-6.80730455E+00
1.88000000E+01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	3.16090513E+01	-6.42866082E+01	-6.80730455E+00
2.49000000E+01	1.10000000E+01	-3.50000000E+01	-2.00000000E-09	3.31507231E+01	-6.42866082E+01	-6.80730455E+00
-3.00000000E+01	1.82000000E+01	-3.50000000E+01	-2.00000000E-09	3.44246002E+01	-6.32052478E+01	-6.80730455E+00
-2.39000000E+01	1.82000000E+01	-3.50000000E+01	-2.00000000E-09	3.30048955E+01	-6.32052478E+01	-6.80730455E+00
-1.78000000E+01	1.82000000E+01	-3.50000000E+01	-2.00000000E-09	3.13098337E+01	-6.32052478E+01	-6.80730455E+00
